Category,Item Name,Description,Price,Badge
Starters,Smoked Oak Bruschetta,Grilled sourdough topped with heirloom tomatoes and aged balsamic glaze,12,Featured
Starters,Barrel-Aged Soup,Slow-simmered French onion soup with gruyere crouton and sherry reduction,14,
Starters,Crispy Calamari,Lightly battered squid rings with saffron aioli and charred lemon,13,
Starters,Beef Carpaccio,Thinly sliced wagyu with arugula and truffle-parmesan dressing,18,
Starters,Roasted Beet Salad,Golden and red beets with goat cheese and candied walnuts,11,Vegetarian
Mains,Grilled Ribeye Steak,12oz prime ribeye with roasted garlic butter and seasonal vegetables,38,Featured
Mains,Pan-Seared Salmon,Atlantic salmon fillet with lemon herb butter and wild rice pilaf,32,
Mains,Slow-Roasted Lamb Shoulder,Eight-hour braised lamb with rosemary jus and root vegetables,36,
Mains,Chicken Shawarma,Marinated free-range chicken with pickled turnips and garlic sauce,24,
Mains,Barrel Burger,Double smash patty with aged cheddar and caramelized onion on brioche,22,Featured
Mains,Fish Curry,Red snapper in coconut curry with jasmine rice and crispy shallots,26,Spicy
Mains,Mushroom Risotto,Arborio rice with wild mushrooms and truffle oil finished with parmesan,24,Vegetarian
Mains,Grilled Sea Bass,Whole sea bass with fennel salad and salsa verde,34,
Sides,Truffle Fries,Hand-cut fries tossed with truffle oil and grated parmesan,9,
Sides,Charred Broccolini,Wood-fired broccolini with chili flakes and toasted almonds,8,Vegetarian
Sides,Creamy Mashed Potatoes,Yukon gold potatoes whipped with roasted garlic and brown butter,8,
Sides,Oak-Grilled Corn,Fire-roasted corn with smoked paprika butter and cotija cheese,7,
Desserts,Bourbon Creme Brulee,Classic vanilla custard with a barrel-aged bourbon caramel,14,Featured
Desserts,Chocolate Lava Cake,Dark chocolate fondant with salted caramel core and vanilla gelato,16,
Desserts,Seasonal Fruit Tart,Almond frangipane tart with fresh seasonal fruits and honey glaze,13,
Desserts,Tiramisu,Espresso-soaked ladyfingers with mascarpone cream and cocoa dust,14,
Drinks,Old Fashioned,Bourbon with muddled sugar and angostura bitters over a large ice cube,16,Featured
Drinks,Barrel Aged Negroni,House-aged gin and campari blend with sweet vermouth,18,
Drinks,Fresh Lemonade,Hand-squeezed lemonade with mint and a touch of elderflower,6,
Drinks,Espresso Martini,Double shot espresso shaken with vodka and coffee liqueur,17,
